index,x,y,z
0,-145.87915402726014,94.04444311280247,1.5
0,-135.04762762817805,110.28976270374983,1.5
0,-121.19489584035526,121.2824363691052,1.5
0,-97.70503098345617,135.60876594480555,1.5
0,-86.94463302351426,136.90199001499286,1.5
0,-63.791226735867724,138.77091453267548,1.5
0,-43.01043866581523,151.48817793492367,1.5
0,-14.812954662445748,154.59075112551102,1.5
0,-2.9415736170293485,155.4428130582706,1.5
0,15.941416031983863,165.56366305543912,1.5
0,40.055342902685425,170.90617577907966,1.5
0,64.6897373022129,180.8157396543441,1.5
0,90.98843555461406,170.7388832832358,1.5
0,103.06650757108736,167.34809979081126,1.5
0,117.44303783196682,130.15650365644615,1.5
0,120.35532394470823,127.92370888849399,1.5